ID,Target,Age,RFM,LifetimeDonation,Degrees,YearsSinceGrad,Male,Alum,InclinationScore,EventsAttended
232,0,24,0,220.53,1,2,0,1,4,3
233,0,34,0,0,2,2,0,1,4,3
234,0,27,9,550,2,2,0,1,4,3
235,0,40,0,0,2,2,0,1,4,3
236,0,24,0,0,2,2,1,1,4,3
237,0,26,0,0,2,2,0,1,4,3
238,0,25,0,0,2,2,0,1,4,3
239,0,30,8,350,2,2,1,1,4,3
240,0,30,0,0,2,2,1,1,4,3
241,0,28,0,200,1,2,1,1,4,3
242,0,29,0,0,2,2,1,1,4,3
243,0,23,7,20.16,1,2,1,1,4,3
244,0,37,0,0,2,2,0,1,4,3
245,0,23,8,620,1,2,1,1,4,3
246,0,28,0,0,2,2,1,1,4,3
247,0,28,8,350,1,2,1,1,4,3
248,0,26,0,0,2,2,0,1,4,3
249,0,33,0,0,3,2,1,1,4,3
250,0,37,0,20,2,2,0,1,4,3
251,0,29,0,50,2,2,0,1,4,3
252,0,26,0,0,2,2,1,1,4,3
253,0,29,0,0,2,2,0,1,4,3
254,0,29,0,235,1,2,1,1,4,3
255,0,48,0,0,2,2,0,1,4,3
256,0,34,0,0,2,2,0,1,4,3
257,0,35,0,0,2,2,0,1,4,3
258,0,22,7,5,1,2,1,1,4,3
259,0,32,0,0,2,2,0,1,4,3
260,0,28,0,0,2,2,0,1,4,3
261,0,27,0,0,2,2,1,1,4,3
262,0,32,0,0,2,2,0,1,4,3
263,1,26,0,0,1,1,0,1,4,3
264,1,46,0,0,3,1,1,1,4,3
265,1,37,0,385,2,1,0,1,4,3
266,1,36,0,0,2,1,1,1,4,3
267,1,31,0,0,2,1,1,1,4,3
268,1,41,0,5350,2,1,1,1,4,3
269,1,26,0,0,1,1,0,1,4,3
270,1,33,0,0,3,0,0,1,4,3
271,1,26,0,50,1,0,0,1,4,3
272,1,25,0,0,1,0,1,1,4,3
273,1,36,8,85,4,0,1,1,4,3
274,0,27,0,0,1,3,1,1,3,3
275,0,27,0,0,2,3,1,1,3,3
276,0,23,0,0,1,3,0,1,3,3
277,0,26,0,0,2,3,0,1,3,3
278,0,27,0,0,3,3,0,1,3,3
279,0,34,0,0,1,3,0,1,3,3
280,0,35,0,0,2,3,0,1,3,3
281,0,30,0,0,2,3,0,1,3,3
282,0,23,0,50,1,3,1,1,3,3
283,0,26,0,0,1,2,1,1,3,3
284,0,27,0,0,1,2,0,1,3,3
285,0,23,0,0,1,2,1,1,3,3
286,0,23,0,0,2,2,0,1,3,3
287,0,33,0,0,1,2,0,1,3,3
288,0,32,0,0,2,2,0,1,3,3
289,0,29,0,0,1,2,0,1,3,3
290,0,31,0,0,2,2,0,1,3,3
291,0,23,0,0,1,3,1,1,2,3
292,0,26,0,0,2,3,0,1,2,3
293,0,28,0,0,2,3,0,1,2,3
294,0,22,0,0,1,3,0,1,2,3
295,0,24,0,0,2,3,0,1,2,3
