OrgID,CNT_AlumRelationships,CNT_Relationships,CNT_Designations,LifetimeDonation,DonorLast3Yrs,GivingVelocity,TimeVelocity,RFM_ORG,GivesToUniversities,ArtsCultureandHumanities,Education,EnvironmentandAnimals,Health,Philanthropy,PublicandSocietalBenefit,Religion
157,0,0,1,3000,1,1,,7,1,0,1,0,0,0,0,0
158,1,1,1,93.08,0,1,,6,0,0,0,0,0,0,0,0
159,4,4,3,342850,1,1,,14,1,0,0,0,0,0,0,0
160,0,1,1,3749.03,1,1,,7,0,0,0,0,0,0,0,0
161,0,1,1,6700.51,1,1,,8,1,0,0,0,0,0,0,0
162,1,3,5,640100,1,1,,11,0,0,0,0,0,0,0,0
163,0,0,1,19791.67,1,1,,9,1,0,0,0,0,0,0,0
164,3,7,1,3800,1,1,,9,1,0,0,0,0,0,0,0
165,0,0,1,3789.29,1,1,,8,1,0,0,0,0,0,0,0
166,0,1,1,600,0,1,,6,0,0,0,0,1,0,0,0
167,0,1,1,216457.5,1,1,1,11,1,0,0,0,0,0,0,0
168,1,3,1,1000000,0,1,,11,0,0,0,0,1,0,0,0
169,2,6,1,43750,1,1,3,9,1,0,0,0,0,0,0,0
170,0,1,1,715531.1,1,1,1,13,1,0,0,0,0,0,0,0
171,0,0,1,235038,1,1,,11,1,0,0,0,0,0,0,0
172,0,1,1,243244.32,1,1,,11,1,0,0,0,0,0,0,0
173,1,2,2,615193.45,0,1,,11,0,0,0,0,0,0,0,0
174,0,0,2,5700,1,1,,9,0,0,0,0,0,0,0,0
175,0,5,4,96394.28,1,1,3,13,1,1,1,0,1,1,1,1
176,0,1,1,3000,1,1,,9,1,0,0,0,0,0,0,0
177,0,1,1,2500,0,1,,6,0,0,0,0,0,0,0,0
178,4,4,1,4550,1,1,,10,1,0,0,0,0,0,0,0
179,0,1,3,510,0,1,,8,0,0,0,0,0,0,0,0
180,5,10,3,29114,1,1,,10,1,0,0,0,0,0,0,0
181,0,1,1,600,1,1,,7,1,0,0,0,0,0,0,0
182,0,1,2,720898.34,1,1,1,14,1,0,0,0,0,0,0,0
183,0,1,1,279250,1,1,,12,1,0,0,0,0,0,0,0
184,0,1,1,150,0,1,,7,0,0,0,0,0,0,0,0
